,author_id,scholarly_output,citations_per_pub,citations,FWCI,h_index,FW_output_in_top,oldest_pub,no_first_old,no_pubs_old,avg_fwci_old,avg_fwvi_old,avg_citescore_old,risingStar
0,6503893953.0,1,20.0,20,0.54,4,0,2017,0.0,6.0,0.3033333333333334,1.7733333333333334,2.1,False
1,6503977235.0,1,0.0,0,0.0,1,0,2017,0.0,1.0,0.0,1.46,0.1,False
2,6504127922.0,4,4.8,19,0.35,13,0,2017,0.0,2.0,0.32,0.895,2.75,False
3,6504301155.0,1,20.0,20,0.54,3,0,2017,0.0,6.0,0.3033333333333334,1.7733333333333334,2.1,False
4,6504401168.0,2,15.0,30,1.68,3,0,2017,0.0,1.0,2.19,2.67,0.0,False
5,6504422964.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,0.39,0.1,False
6,6504423868.0,1,20.0,20,1.18,1,0,2017,0.0,1.0,1.18,0.81,4.8,False
7,6504461599.0,11,14.9,164,0.97,9,1,2017,0.0,3.0,0.8733333333333334,5.82,1.8666666666666665,True
8,6504524893.0,1,4.0,4,0.65,13,0,2017,0.0,2.0,1.445,0.775,1.4,False
9,6504614044.0,2,38.5,77,3.29,23,2,2017,0.0,1.0,2.64,2.58,7.5,False
10,6504645338.0,2,4.0,8,0.81,2,0,2017,0.0,1.0,0.49,2.24,0.3,True
11,6504704889.0,1,3.0,3,0.24,5,0,2017,0.0,0.0,0.0,0.0,0.0,True
12,6504742210.0,1,1.0,1,0.04,1,0,2017,0.0,2.0,0.04,2.75,0.1,False
13,6505579052.0,38,6.5,248,1.34,30,6,2017,0.0,3.0,1.1466666666666667,1.1933333333333334,3.3333333333333335,True
14,6505617726.0,3,3.3,10,0.61,2,0,2017,0.0,1.0,0.69,0.9,0.4,True
15,6505717827.0,1,1.0,1,0.11,1,0,2017,0.0,2.0,0.11,1.52,0.3,False
16,6505787182.0,4,3.8,15,0.18,12,0,2017,0.0,1.0,0.56,2.53,11.3,False
