author_id,scholarly_output,citations_per_pub,most_recent_pub,citations,FWCI,h_index,FW_output_in_top,oldest_pub
6503851729,8,6.6,2022,53,0.63,5,0,2004
6503865347,2,18.5,2019,37,0.98,6,0,2005
6503873393,1,23,2013,23,8.42,15,2,2011
6503876779,1,1,2019,1,0.87,7,0,2019
6503884764,3,4.3,2016,13,0.14,3,0,1999
6503893953,1,20,2017,20,0.54,4,0,2017
6503893965,3,28.3,2017,85,1.34,3,0,2007
6503898545,1,21,2012,21,0.52,18,0,1999
6503900367,2,2,2019,4,0.51,1,0,2014
6503901835,16,6.6,2022,105,0.38,7,0,2004
6503911332,14,5.5,2022,77,0.64,8,0,2003
6503913640,2,1.5,2015,3,0,1,0,2013
6503914111,1,2,2012,2,0.14,2,0,2007
6503915216,2,2,2015,4,0.18,2,0,2004
6503915254,2,103.5,2020,207,7.29,2,1,2020
6503917874,1,0,2022,0,0,1,0,2000
6503918538,4,4,2019,16,0.22,5,0,2004
6503925842,1,24,2020,24,2.9,5,1,2020
6503931006,8,4.5,2022,36,0.31,6,0,2004
6503936871,2,0,2014,0,0,0,0,2014
6503939568,4,15.3,2015,61,1.55,6,1,2004
6503942807,1,27,2012,27,0.25,4,0,2003
6503944610,3,15.3,2020,46,0.49,2,0,2015
6503952842,3,17.7,2019,53,0.35,5,0,1999
6503954208,32,9,2022,288,0.97,13,3,1999
6503954796,3,27.7,2016,83,1.76,9,1,2004
6503955941,6,2.8,2021,17,0.23,3,0,2011
6503963315,2,6,2013,12,0.44,9,0,2010
6503963461,2,5.5,2012,11,0,4,0,2003
6503965311,1,15,2014,15,0.51,2,0,2014
6503968968,5,3.2,2022,16,0.32,5,0,2004
6503969108,6,3.5,2018,21,0.11,3,0,1998
6503971962,3,7,2017,21,0.31,4,1,2001
6503977235,1,0,2017,0,0,1,0,2017
6503978452,11,12.7,2022,140,0.65,11,1,2012
6503984057,1,5,2014,5,0.43,3,0,2003
6503986505,5,17.4,2016,87,1.52,5,1,2012
6503995879,1,14,2012,14,0.79,13,0,2004
6504000176,9,0.6,2022,5,0.02,2,0,2007
6504001121,1,30,2012,30,1.85,4,1,2010
6504004192,3,4.3,2016,13,0.16,3,0,2011
6504007508,1,6,2013,6,0.27,1,0,2013
6504011921,1,1,2021,1,0.33,3,0,2021
6504018507,4,11.5,2022,46,0.82,4,1,2009
6504020140,16,4.3,2022,68,0.46,9,1,2016
6504020140,2,29.5,2012,59,0.5,9,0,2004
6504028341,1,5,2014,5,0.15,4,0,2014
6504032035,8,7.4,2018,59,0.95,6,0,2011
6504032051,3,0,2018,0,0,1,0,2003
6504032723,2,5,2019,10,0.37,3,0,2000
6504039639,3,3.7,2014,11,0.18,2,0,2012
6504041990,2,2,2018,4,0.58,1,0,2014
6504046960,1,3,2021,3,0.7,2,0,2003
6504048616,10,8.7,2020,87,0.65,4,0,2002
6504049975,8,6.4,2022,51,1.22,3,1,2002
6504054498,1,11,2013,11,0.28,5,0,2010
6504057436,1,0,2014,0,0,0,0,2014
6504061592,3,0.3,2022,1,0.28,1,0,2020
6504063813,2,4,2015,8,0.42,4,1,2000
6504068336,14,1.4,2022,20,0.53,5,1,2000
6504068652,17,4.7,2022,80,0.25,9,0,2002
6504078901,1,3,2014,3,0.12,10,0,2014
6504079032,2,11.5,2018,23,0.7,2,0,1998
6504079652,6,9.3,2021,56,1.04,7,1,2004
6504082224,33,3.5,2022,117,0.68,7,4,2008
6504098694,1,7,2013,7,0.09,3,0,2013
6504099704,1,0,2015,0,0,2,0,2004
6504100320,8,3.8,2020,30,0.64,3,0,2010
6504101503,15,3.7,2021,56,0.36,8,0,2006
6504105515,11,6,2017,66,0.81,9,1,2011
6504109714,2,1,2021,2,0.25,1,0,2019
6504111499,1,18,2018,18,2.15,2,0,1998
6504111531,11,16.7,2022,184,1.15,8,2,2004
6504113086,2,3,2017,6,0.19,5,0,2004
6504117582,32,5.4,2022,173,0.47,10,1,2011
6504127922,4,4.8,2019,19,0.35,13,0,2017
6504127922,6,12.3,2014,74,1.23,13,1,2004
6504128230,1,10,2015,10,0.38,6,0,2003
6504129207,1,0,2016,0,0,1,0,2004
6504133345,2,4.5,2019,9,0.24,3,0,2018
6504135896,16,6.6,2022,105,0.29,7,0,2005
6504137443,2,2.5,2021,5,0.09,5,0,2016
6504137802,1,2,2015,2,0.13,2,0,2003
6504139444,2,5,2018,10,0.25,3,0,2004
6504140741,1,1,2019,1,0.39,1,0,2019
6504147247,3,12,2020,36,0.36,2,0,2012
6504155791,2,76,2012,152,2.02,6,1,2011
6504162442,1,13,2013,13,0,3,0,2002
6504162527,1,2,2012,2,1.29,1,0,2011
6504167374,1,3,2017,3,0.45,3,0,2003
6504168982,1,19,2016,19,0.62,16,0,2016
6504175307,2,1,2019,2,0,2,0,2007
6504176877,1,2,2012,2,0.15,2,0,2012
6504185286,1,24,2013,24,0.59,7,0,2009
6504186284,5,6.8,2022,34,0.8,3,1,2003
6504186744,12,20.4,2021,245,1,12,1,2013
6504187766,1,56,2015,56,1.64,3,0,2015
6504194363,1,9,2012,9,0.18,4,0,2003
6504194548,1,3,2014,3,0.11,9,0,2014
6504196676,1,0,2021,0,0,1,0,2021
6504201846,9,7.6,2021,68,0.59,6,1,2001
6504206742,4,7.3,2021,29,0.48,5,0,2010
6504212385,1,23,2012,23,0.87,2,0,2012
6504212683,1,2,2012,2,0,2,0,2004
6504213461,10,4,2022,40,1.76,7,3,2020
